Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	
ECG_LL-RA_24BIT	ECG_LL-RA_24BIT	System_Timestamp_Plot_Zeroed	ECG_LL-LA_24BIT	ECG_LL-LA_24BIT	Timestamp	Timestamp	ECG_Vx-RL_24BIT	ECG_Vx-RL_24BIT	ECG_LA-RA_24BIT	ECG_LA-RA_24BIT	ECG_EMG_Status1	ECG_EMG_Status1	ECG_EMG_Status2	ECG_EMG_Status2	
CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	
mV	no_units	ms	no_units	mV	ms	Ticks	mV	no_units	mV	no_units	no_units	no_units	no_units	no_units	
-605.0000721216288	-8388608.0	3.90625	-8446787.0	-609.1960363621755	116281.8603515625	3810324.0	-605.0000721216288	-8388608.0	4.195964240546732	58179.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	7.8125	-8443017.0	-608.9241378216908	116285.7666015625	3810452.0	-605.0000721216288	-8388608.0	3.924065700062001	54409.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	11.71875	-8436399.0	-608.4468368824527	116289.6728515625	3810580.0	-605.0000721216288	-8388608.0	3.4467647608238177	47791.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	15.625	-8432181.0	-608.1426278522764	116293.5791015625	3810708.0	-605.0000721216288	-8388608.0	3.142555730647532	43573.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	19.53125	-8429437.0	-607.9447261029155	116297.4853515625	3810836.0	-605.0000721216288	-8388608.0	2.9446539812867623	40829.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	23.4375	-8425817.0	-607.6836458067472	116301.3916015625	3810964.0	-605.0000721216288	-8388608.0	2.6835736851183993	37209.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	27.34375	-8421554.0	-607.3761913032761	116305.2978515625	3811092.0	-605.0000721216288	-8388608.0	2.376119181647203	32946.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	31.25	-8417896.0	-607.1123703852141	116309.2041015625	3811220.0	-605.0000721216288	-8388608.0	2.1122982635853607	29288.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	35.15625	-8416239.0	-606.9928648463327	116313.1103515625	3811348.0	-605.0000721216288	-8388608.0	1.9927927247038753	27631.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	39.0625	-8415674.0	-606.9521161260743	116317.0166015625	3811476.0	-605.0000721216288	-8388608.0	1.9520440044455536	27066.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	42.96875	-8414199.0	-606.8457367236301	116320.9228515625	3811604.0	-605.0000721216288	-8388608.0	1.8456646020012621	25591.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	46.875	-8408201.0	-606.4131511942329	116324.8291015625	3811732.0	-605.0000721216288	-8388608.0	1.413079072604069	19593.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	50.78125	-8400780.0	-605.8779365870878	116328.7353515625	3811860.0	-605.0000721216288	-8388608.0	0.8778644654589255	12172.0	128.0	128.0	128.0	128.0	
-598.1631580785702	-8293811.0	54.6875	-8300317.0	-598.6323813953854	116332.6416015625	3811988.0	-605.0000721216288	-8388608.0	0.4692233168152949	6506.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	58.59375	-8394522.0	-605.4265994342088	116336.5478515625	3812116.0	-605.0000721216288	-8388608.0	0.42652731258002674	5914.0	128.0	128.0	128.0	128.0	
-556.04520869794	-7709826.0	62.5	-7714397.0	-556.3748766630741	116340.4541015625	3812244.0	-576.3936771623704	-7991967.0	0.3296679651341397	4571.0	128.0	128.0	128.0	128.0	
-348.98365187450077	-4838821.0	66.40625	-4834387.0	-348.6638645725089	116344.3603515625	3812372.0	-494.3440013341906	-6854310.0	-0.31978730199185634	-4434.0	128.0	128.0	128.0	128.0	
-150.19083979020593	-2082466.0	70.3125	-2064054.0	-148.86293636118606	116348.2666015625	3812500.0	-449.07065857299074	-6226574.0	-1.32790342901986	-18412.0	128.0	128.0	128.0	128.0	
-106.3073529371444	-1474001.0	74.21875	-1447137.0	-104.36987750171156	116352.1728515625	3812628.0	-444.1968231435804	-6158996.0	-1.9374754354328438	-26864.0	128.0	128.0	128.0	128.0	
